,actions_id,actions_tx_hash,actions_timestamp,actions_action_type,actions_amount,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
245,OTHER-8d224e01236ed2346a9ad4805785fd28bedcc640d16831a25c4395a4f20e3acb,8d224e01236ed2346a9ad4805785fd28bedcc640d16831a25c4395a4f20e3acb,1615240621,OTHER,,,0x,0.0,0x,0.0
246,WRAP-83d8b419281bbcd2570e045a814158b42e9807cdcd885acb574b31096b0757df,83d8b419281bbcd2570e045a814158b42e9807cdcd885acb574b31096b0757df,1615240436,WRAP,6949229816103620536,6949229816103620536,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xdcd9ba7fc0b8324817a13deb3c268f80976056b4,0.0
247,WRAP-0a673a56672ce5cfbc6034f9b00d7db593bb42d5f807d861dc7252ffe75706ad,0a673a56672ce5cfbc6034f9b00d7db593bb42d5f807d861dc7252ffe75706ad,1615240430,WRAP,198549423317246301,198549423317246301,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x2beba030cdc9c4a47c5aa657974840428b9fefac,423317246301.0
248,WRAP-7e354cdc3c3a7ce1985a2296e92a0dec1e828f20ade68ab04e2b25e7b5b8973f,7e354cdc3c3a7ce1985a2296e92a0dec1e828f20ade68ab04e2b25e7b5b8973f,1615240301,WRAP,80908890001777867677,80908890001777867677,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xfccba075a3f25208439e8f1a9e00a87fb861e248,1777867677.0
249,OTHER-1cb1274929586cdf8fb488b2c6585659ba86dc0eec9d72c39d192f4614c3b26a,1cb1274929586cdf8fb488b2c6585659ba86dc0eec9d72c39d192f4614c3b26a,1615239623,OTHER,,,0x,0.0,0x,0.0
250,WRAP-27b170096e09a9871e7ae26cb9664ea791cdf3b49190630614aab445b3eae968,27b170096e09a9871e7ae26cb9664ea791cdf3b49190630614aab445b3eae968,1615239571,WRAP,8438350490982967794,8438350490982967794,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xe71ba8ec2fa3dc20de946b84ceaa243ae7ccf2fb,10000000000000.0
251,OTHER-d7ff1f191a8e40c19219cd681caa034150ee6edf17109799d92e381173ccd685,d7ff1f191a8e40c19219cd681caa034150ee6edf17109799d92e381173ccd685,1615239571,OTHER,,,0x,0.0,0x,0.0
252,WRAP-55b9dea0967b22503f44c66ad28fab38da9a02daf21f1c41678d7f23b543c4d3,55b9dea0967b22503f44c66ad28fab38da9a02daf21f1c41678d7f23b543c4d3,1615239310,WRAP,49637355829311575,49637355829311575,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x9c5dde694ef0b1c17a7ef6ae2e58b7ed8b1bd56f,355829311575.0
253,OTHER-65d42c761e3cf840e0189dc6454047c2fee259518a1b41963b4af2f3513d220f,65d42c761e3cf840e0189dc6454047c2fee259518a1b41963b4af2f3513d220f,1615239032,OTHER,,,0x,0.0,0x,0.0
254,OTHER-7e66bb6427cf763f0fdfe9723c65c8b08d9d4d764f5da7cd91bac94b28327b11,7e66bb6427cf763f0fdfe9723c65c8b08d9d4d764f5da7cd91bac94b28327b11,1615238898,OTHER,,,0x,0.0,0x,0.0
255,WRAP-2d015a3c2a9c19df2d201607f9174c1da392310cf6f18b078c87fd309ed51511,2d015a3c2a9c19df2d201607f9174c1da392310cf6f18b078c87fd309ed51511,1615238821,WRAP,148912067487934725786,148912067487934725786,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,0.0
256,WRAP-bb4d6233af3228db1c9640f5d5807df71cadf71f7d2780adf892234bdd56b164,bb4d6233af3228db1c9640f5d5807df71cadf71f7d2780adf892234bdd56b164,1615238778,WRAP,27556884924589330403,27556884924589330403,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xcfb464585241eab3ecb392011648a8e829b951ed,0.0
257,WRAP-08d0c9f0c27dbd1fde3060b43704fe6952aa9e8d453ffa04ee2ec27ba7e2e205,08d0c9f0c27dbd1fde3060b43704fe6952aa9e8d453ffa04ee2ec27ba7e2e205,1615238671,WRAP,29583864074269698856,29583864074269698856,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x298afe764ceade43ba80ac4390195e8d9451d6ef,0.0
258,OTHER-dbb30ba18d9ed2e54e171f271b33447fa00c3a0b35f70537ee66e1f52724cfe0,dbb30ba18d9ed2e54e171f271b33447fa00c3a0b35f70537ee66e1f52724cfe0,1615238534,OTHER,,,0x,0.0,0x,0.0
259,WRAP-370fa4765545861c2bfcaed509074a8e1c7d65f8cf92d564c4fc166b607b7dd9,370fa4765545861c2bfcaed509074a8e1c7d65f8cf92d564c4fc166b607b7dd9,1615238373,WRAP,5117426735038338370,5117426735038338370,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x5fbd75846a90e965fefacfe5d80e8e2ba675d841,0.0
