,actions_id,actions_timestamp,actions_action_type,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
81,WRAP-61df08a69c393a66fb5715d69db83359b871c96fe2c97bcf74d92f0ff673844b,1615282681,WRAP,149507715757886464689,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x1ea6a6085f2ce3e1f982684a28879761343ff4ce,0.0
82,WRAP-af3ccf8371b7df2e93c859dbf62eabd9e0faaf40500e97be429e37a35ea2aa87,1615284505,WRAP,2697393190476449622,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xa1c6bf9a94e603c0c7e0559a9bbe6329137239f7,1.0756638319852255e+19
83,WRAP-5b7b6c326653181bc556b0f1b2468c2b2171b5e9725c422ee7a42bbf0ccebcd9,1615285013,WRAP,2382593079806955612,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xf2d2a8c4988ff113307e80f53678d157eea6371c,0.0
84,WRAP-a8a678f5b39ea51bff34183887381341caafef50bbd0ee7f05129ab8327a1a0e,1615291009,WRAP,3673164331369056569,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x04a6b09c4708f4c94670cc52b15b3dddb6c7d04c,0.0
85,WRAP-9a2b79074f61c0308ac7bfa69202907f4575d9b54ed34b4f4ed44a8872115161,1615292421,WRAP,1985494233172463010,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xfbdd5c349d1686d7b15b27f47217c55fe93d2bfc,1.9999999982964718e+18
86,SEND-a04815260fecd6e0c03b6547c4b01d130c159080c770a588bece4aaa6d447cd1,1615292834,SEND,1999999765124008808,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-1.51541466175454e+21,0xfbdd5c349d1686d7b15b27f47217c55fe93d2bfc,1.9999999982964718e+18
87,UNWRAP-a04815260fecd6e0c03b6547c4b01d130c159080c770a588bece4aaa6d447cd1,1615292834,UNWRAP,1985494000000000000,0xfbdd5c349d1686d7b15b27f47217c55fe93d2bfc,1.9999999982964718e+18,0x0000000000000000000000000000000000000000,-7.455498349074342e+21
88,WRAP-ccb6a01c3f58ed31b86ebb7985f633154de3e9c5412d5e72bb5b643acda9e1e3,1615294627,WRAP,595521284450513034682,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0xb6af7c04f67b5eb61f0dc7ac4a760888ec3e3887,1.5016344917044927e+21
89,WRAP-af1b8e10789bc4d89a117c88f1b08498deeef5a7e8ace5315b238535753e7208,1615300464,WRAP,34738741592946593689,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x1c4203db716a122aff5120203268113e8b471f0e,8.598125631604516e+19
90,WRAP-911823a475b6d4dcd866c0135d14aec77c96cddb1d2dbc6a2cf3e596e0380f43,1615300986,WRAP,39701418963367535,0x0000000000000000000000000000000000000000,-7.455498349074342e+21,0x79d084f1f47f4846f6ad99393ac0d8edd8de814e,0.0
